Entry Name,Priority,Base PP,Type,Targets,Base Accuracy,Effect Accuracy,Makes Contact,Can Be Protected Against,Can Be Reflected By Magic Coat,Can Be Stolen By Snatch,Can Be Copied By Mirror Move,Gains Flinch Chance With King's Rock,Callable by Metronome,Copyable by Mimic,Callable by Assist,Callable by Sleep Talk,Is Sound Based,Has unspecified target,Is HM Move,Category,Has Risk Flag,Match Up Chart Type,Contest Appeal Jam Index,Contest Appeal Type,Base Power,Effect,Animation ID,Name ID,Unused String ID,Exclamation String ID,Description ID,Animation ID 2,Move Effect Type
None  - 0,0,0,Normal (0),Selected Target (0),0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,Neither (0),false,1 (0x1),0,None (0),0,"unused - 64" (64),0 (0x0),None (0x0),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A punch thrown at[New Line]wicked speed." (0x2905),0 (0x0),None (0)
"Bullet Punch"  - 1,1,30,Steel (8),Selected Target (0),100,0,true,true,false,true,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Tough (5),40,"increased priority (still need to set priority field)" (103),218 (0xDA),"Bullet Punch" (0x7D1),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F71),"A speedy punch thrown[New Line]like a bullet." (0x2994),218 (0xDA),Attack (1)
"Dual Chop"  - 2,0,15,Dragon (16),Selected Target (0),90,0,true,true,false,false,false,true,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),38,Tough (5),40,"2 hits" (44),2 (0x2),"Dual Chop" (0x7D2),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"The user attacks its target[New Line]2 with brutal strikes." (0x2906),2 (0x2),Attack (1)
"Focus Blast"  - 3,0,5,Fight (1),Selected Target (0),70,10,false,true,false,true,false,false,true,true,true,true,false,true,false,Special (2),false,15 (0xF),34,Cool (1),120,"hit and special defense lowering chance" (72),82 (0x52),"Focus Blast" (0x7D3),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"The user heightens focus[New Line]and unleashes power." (0x2907),82 (0x52),Attack (1)
"Aura Sphere"  - 4,0,20,Fight (1),Selected Target (0),0,0,false,true,false,true,true,true,true,true,true,true,false,true,false,Special (2),false,1 (0x1),36,Tough (5),80,"never misses (set accuracy to 0)" (17),237 (0xED),"Aura Sphere" (0x7D4),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"The user looses a blast[New Line]of aura that always hits." (0x2908),237 (0xED),Attack (1)
"Zen Headbutt"  - 5,0,15,Psychc (14),Selected Target (0),90,20,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Tough (5),80,"hit and flinch chance" (31),25 (0x19),"Zen Headbutt" (0x7D5),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Focuses willpower in the[New Line]head. May cause flinching." (0x2909),25 (0x19),Attack (1)
"Snarl"  - 6,0,15,Dark (17),Both Foes (4),95,100,false,true,false,false,false,false,true,true,true,true,true,true,false,Special (2),false,1 (0x1),47,Smart (4),55,"hit and special attack lowering chance" (71),253 (0xFD),"Snarl" (0x7D6),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"Yells at the foes to[New Line]drop their Sp.Atk." (0x290A),253 (0xFD),Attack (1)
"Fire Punch"  - 7,0,15,Fire (10),Selected Target (0),100,10,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Beauty (2),75,"hit and burn chance" (4),7 (0x7),"Fire Punch" (0x7D7),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"A fiery punch that may burn[New Line]the target." (0x290B),7 (0x7),Attack (1)
"Ice Punch"  - 8,0,15,Ice (15),Selected Target (0),100,10,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Beauty (2),75,"hit and freeze chance" (5),8 (0x8),"Ice Punch" (0x7D8),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An icy punch that may[New Line]freeze the target." (0x290C),8 (0x8),Attack (1)
"Thunder Punch"  - 9,0,15,Electr (13),Selected Target (0),100,10,true,true,false,false,false,false,true,true,true,true,false,true,false,Physical (1),false,1 (0x1),1,Cool (1),75,"hit and paralyze chance" (6),9 (0x9),"Thunder Punch" (0x7D9),"MsgID 0x4FC2" (0x4FC2),"!" (0x4F72),"An electrified punch that[New Line]may paralyze the target." (0x290D),9 (0x9),Attack (1)
