Entry Name,Level up Rate,Catch Rate,Gender Ratio,Exp yield,Base Happiness,Height,Weight,Cry ID,Unknown 1,Unknown 2,National Dex Index,Hoenn dex regional id,Name ID,Species Name ID,Unknown 3,Unknown 4,Unknown 5,Model ID,Types 1,Types 2,Abilities 1,Abilities 2,TM01 Tailwind,TM02 Fire Blast,TM03 U-Turn,TM04 Hurricane,TM05 Sludge Wave,TM06 Dazzling Gleam,TM07 Foul Play,TM08 Power-Up Punch,TM09 Thunder Wave,TM10 Ice Beam,TM11 Will-O-Wisp,TM12 Wild Charge,TM13 Trick Room,TM14 Scald,TM15 Flamethrower,TM16 Iron Head,TM17 Thunderbolt,TM18 Freeze Dry,TM19 Sludge Bomb,TM20 Energy Ball,TM21 Zen Headbutt,TM22 Discharge,TM23 Dragon Pulse,TM24 Superpower,TM25 Earthquake,TM26 Earth Power,TM27 Heat Wave,TM28 Blizzard,TM29 Sucker Punch,TM30 Gunk Shot,TM31 Psyshock,TM32 Shadow Ball,TM33 Rock Slide,TM34 Solarbeam,TM35 Focus Blast,TM36 X-Scissor,TM37 Thunder,TM38 Aerial Ace,TM39 Waterfall,TM40 Dragon Claw,TM41 Toxic,TM42 Flame Charge,TM43 Poison Jab,TM44 Knock Off,TM45 Reflect,TM46 Light Screen,TM47 Surf,TM48 Stone Edge,TM49 Psychic,TM50 Dark Pulse,HM01 Helping Hand,HM02 Substitute,HM03 Facade,HM04 Stomping Tantrum,HM05 Shadow Rush,HM06 Shadow Sky,HM07 Shadow Madness,HM08 Shadow Shake,TutorMove01 Draco Meteor,TutorMove02 Protect,TutorMove03 Wide Guard,TutorMove04 Encore,TutorMove05 Fire Punch,TutorMove06 Thunder Punch,TutorMove07 Ice Punch,TutorMove08 Icy Wind,TutorMove09 Snarl,TutorMove10 Taunt,TutorMove11 Rain Dance,TutorMove12 Sunny Day,Wild Items 1,Wild Items 2,Egg Moves 1,Egg Moves 2,Egg Moves 3,Egg Moves 4,Egg Moves 5,Egg Moves 6,Egg Moves 7,Egg Moves 8,Base Stats HP,Base Stats Attack,Base Stats Defense,Base Stats Sp.Atk,Base Stats Sp.Def,Base Stats Speed,EV Yields HP,EV Yields Attack,EV Yields Defense,EV Yields Sp.Atk,EV Yields Sp.Def,EV Yields Speed,Evolutions 1 Evolution Method,Evolutions 1 Evolution Condition,Evolutions 1 Evolved Form,Evolutions 2 Evolution Method,Evolutions 2 Evolution Condition,Evolutions 2 Evolved Form,Evolutions 3 Evolution Method,Evolutions 3 Evolution Condition,Evolutions 3 Evolved Form,Evolutions 4 Evolution Method,Evolutions 4 Evolution Condition,Evolutions 4 Evolved Form,Evolutions 5 Evolution Method,Evolutions 5 Evolution Condition,Evolutions 5 Evolved Form,Level Up Moves 1 Level,Level Up Moves 1 Move,Level Up Moves 2 Level,Level Up Moves 2 Move,Level Up Moves 3 Level,Level Up Moves 3 Move,Level Up Moves 4 Level,Level Up Moves 4 Move,Level Up Moves 5 Level,Level Up Moves 5 Move,Level Up Moves 6 Level,Level Up Moves 6 Move,Level Up Moves 7 Level,Level Up Moves 7 Move,Level Up Moves 8 Level,Level Up Moves 8 Move,Level Up Moves 9 Level,Level Up Moves 9 Move,Level Up Moves 10 Level,Level Up Moves 10 Move,Level Up Moves 11 Level,Level Up Moves 11 Move,Level Up Moves 12 Level,Level Up Moves 12 Move,Level Up Moves 13 Level,Level Up Moves 13 Move,Level Up Moves 14 Level,Level Up Moves 14 Move,Level Up Moves 15 Level,Level Up Moves 15 Move,Level Up Moves 16 Level,Level Up Moves 16 Move,Level Up Moves 17 Level,Level Up Moves 17 Move,Level Up Moves 18 Level,Level Up Moves 18 Move,Level Up Moves 19 Level,Level Up Moves 19 Move,Regular Sprites Pokedex Colour ID,Regular Sprites Face ID,Regular Sprites Purify Chamber Image ID,Shiny Sprites Pokedex Colour ID,Shiny Sprites Face ID,Shiny Sprites Purify Chamber Image ID
None  - 0,Standard (0),0,Male Only (0),0,0 (0x0),0,0,0 (0x0),0 (0x0),0 (0x0),0,0,None (0x0),None (0x0),0 (0x0),0 (0x0),0 (0x0),PKX Pokemon Model (0),Normal (0),Normal (0),None (0),None (0),false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),0,0,0,0,0,0,0,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0 (0x0),Pokeface (0),None (0x0),0 (0x0),Pokeface (0),None (0x0)
"Bulbasaur"  - 1,Very Fast (1),45,87.5% Male (31),64,70 (0x46),7,69,994 (0x3E2),1 (0x1),1358 (0x54E),1,203,"Bulbasaur" (0x3E9),"Seed" (0x662),0 (0x0),7 (0x7),393 (0x189),pkx_fushigidane.fsys (1),Grass (12),Grass (12),Thick Fat (47),None (0),false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false,false,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),60,50,55,70,70,45,0,0,0,1,0,0,Level Up (4),16 (0x10),Ivysaur (2),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Cotton Guard (160),1,Leech Seed (73),1,Absorb (71),1,Stun Spore (78),16,Mega Drain (72),18,Sleep Powder (79),22,Sludge (124),26,Sunny Day (241),29,Energy Ball (91),30,Giga Drain (202),33,Calm Mind (129),36,Toxic (92),40,Sludge Bomb (188),42,Grass Knot (13),45,Leaf Storm (121),49,Sludge Wave (308),53,Synthesis (235),60,Solarbeam (76),0,None (0),4 (0x4),face001.gtx Regular (1),poke_dance.fsys -> fushigidane.atx (0x1C373200),4 (0x4),face001.gtx Shiny (387),poke_dance.fsys -> fushigidane_c.atx (0x1C383200)
"Ivysaur"  - 2,Very Fast (1),45,87.5% Male (31),141,70 (0x46),10,130,995 (0x3E3),2 (0x2),1360 (0x550),2,204,"Ivysaur" (0x3EA),"Seed" (0x662),0 (0x0),8 (0x8),394 (0x18A),pkx_fushigisou.fsys (2),Grass (12),Poison (3),Thick Fat (47),Chlorophyll (34),false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false,false,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,65,70,90,90,60,0,0,0,1,1,0,Level Up (4),32 (0x20),Venusaur (3),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Cotton Guard (160),1,Leech Seed (73),1,Absorb (71),1,Stun Spore (78),16,Mega Drain (72),18,Sleep Powder (79),22,Sludge (124),26,Sunny Day (241),29,Energy Ball (91),30,Giga Drain (202),33,Calm Mind (129),36,Toxic (92),40,Sludge Bomb (188),42,Grass Knot (13),45,Leaf Storm (121),49,Sludge Wave (308),53,Synthesis (235),60,Solarbeam (76),0,None (0),4 (0x4),face002.gtx Regular (2),poke_dance.fsys -> fushigisou.atx (0x1C393200),4 (0x4),face002.gtx Shiny (388),poke_dance.fsys -> fushigisou_c.atx (0x1C3A3200)
"Venusaur"  - 3,Very Fast (1),45,87.5% Male (31),208,70 (0x46),20,1000,996 (0x3E4),3 (0x3),1357 (0x54D),3,205,"Venusaur" (0x3EB),"Seed" (0x662),0 (0x0),9 (0x9),395 (0x18B),pkx_fushigibana.fsys (3),Grass (12),Poison (3),Thick Fat (47),Chlorophyll (34),false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,false,true,true,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),90,85,90,110,115,80,0,0,0,0,3,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Cotton Guard (160),16,Mega Drain (72),1,Leech Seed (73),33,Calm Mind (129),29,Energy Ball (91),1,Absorb (71),1,Stun Spore (78),30,Giga Drain (202),18,Sleep Powder (79),26,Sunny Day (241),45,Leaf Storm (121),42,Grass Knot (13),53,Synthesis (235),60,Solarbeam (76),36,Toxic (92),22,Sludge (124),40,Sludge Bomb (188),49,Sludge Wave (308),0,None (0),4 (0x4),face003.gtx Regular (3),poke_dance.fsys -> fushigibana.atx (0x1C353200),4 (0x4),face003.gtx Shiny (389),poke_dance.fsys -> fushigibana_c.atx (0x1C363200)
"Charmander"  - 4,Very Fast (1),45,87.5% Male (31),65,70 (0x46),6,85,997 (0x3E5),4 (0x4),1358 (0x54E),4,206,"Charmander" (0x3EC),"Lizard" (0x67D),0 (0x0),10 (0xA),396 (0x18C),pkx_hitokage.fsys (4),Fire (10),Fire (10),Storm Drain (96),None (0),false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,false,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),50,55,55,70,55,65,0,0,0,0,0,1,Level Up (4),16 (0x10),Charmeleon (5),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Ember (52),1,Tail Glow (102),1,Smokescreen (108),1,Absorb (71),13,Fire Spin (83),16,Gust (16),19,Featherdance (297),23,Sunny Day (241),25,Flamethrower (53),28,Dragonbreath (225),32,Morning Sun (234),36,Fiery Dance (144),39,Air Slash (154),42,Heat Wave (257),46,Dragon Pulse (110),50,Eruption (284),55,Aeroblast (177),60,Draco Meteor (31),0,None (0),1 (0x1),face004.gtx Regular (4),poke_dance.fsys -> hitokage.atx (0x1C863200),1 (0x1),face004.gtx Shiny (390),poke_dance.fsys -> hitokage_c.atx (0x1C873200)
"Charmeleon"  - 5,Very Fast (1),45,87.5% Male (31),142,70 (0x46),11,190,998 (0x3E6),5 (0x5),1360 (0x550),5,207,"Charmeleon" (0x3ED),"Flame" (0x615),0 (0x0),11 (0xB),397 (0x18D),pkx_lizardo.fsys (5),Fire (10),Flying (2),Storm Drain (96),Solar Power (83),false,true,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,true,false,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),65,70,70,95,70,80,0,0,0,1,0,1,Level Up (4),36 (0x24),Charizard (6),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Ember (52),1,Tail Glow (102),1,Smokescreen (108),1,Absorb (71),13,Fire Spin (83),16,Gust (16),19,Featherdance (297),23,Sunny Day (241),25,Flamethrower (53),28,Dragonbreath (225),32,Morning Sun (234),36,Fiery Dance (144),39,Air Slash (154),42,Heat Wave (257),46,Dragon Pulse (110),50,Eruption (284),55,Aeroblast (177),60,Draco Meteor (31),0,None (0),1 (0x1),face005.gtx Regular (5),poke_dance.fsys -> lizardo.atx (0x1CFC3200),1 (0x1),face005.gtx Shiny (391),poke_dance.fsys -> lizardo_c.atx (0x1CFF3200)
"Charizard"  - 6,Very Fast (1),45,87.5% Male (31),209,70 (0x46),17,905,999 (0x3E7),6 (0x6),1357 (0x54D),6,208,"Charizard" (0x3EE),"Flame" (0x615),0 (0x0),12 (0xC),398 (0x18E),pkx_lizardon.fsys (6),Fire (10),Flying (2),Storm Drain (96),Solar Power (83),true,true,false,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),85,75,95,120,95,100,0,0,0,3,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Ember (52),1,Tail Glow (102),1,Smokescreen (108),1,Absorb (71),13,Fire Spin (83),16,Gust (16),19,Featherdance (297),23,Sunny Day (241),25,Flamethrower (53),28,Dragonbreath (225),32,Morning Sun (234),36,Fiery Dance (144),39,Air Slash (154),42,Heat Wave (257),46,Dragon Pulse (110),50,Eruption (284),55,Aeroblast (177),60,Draco Meteor (31),48,Tailwind (219),1 (0x1),face006.gtx Regular (6),poke_dance.fsys -> lizardon.atx (0x1CFD3200),1 (0x1),face006.gtx Shiny (392),poke_dance.fsys -> lizardon_c.atx (0x1CFE3200)
"Squirtle"  - 7,Very Fast (1),45,87.5% Male (31),66,70 (0x46),5,90,1000 (0x3E8),7 (0x7),1358 (0x54E),7,209,"Squirtle" (0x3EF),"Tiny Turtle" (0x621),0 (0x0),13 (0xD),399 (0x18F),pkx_zenigame.fsys (7),Water (11),Water (11),Lightningrod (31),None (0),false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,false,true,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),57,60,65,60,65,43,0,0,1,0,0,0,Level Up (4),16 (0x10),Wartortle (8),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Metal Sound (319),1,Water Gun (55),1,Rock Throw (88),1,Whirlpool (250),12,Rain Dance (240),16,Shell Smash (112),19,Snarl (6),23,Water Pulse (352),26,Icy Wind (196),29,Dragon Pulse (110),33,Freeze Dry (198),38,Calm Mind (129),40,Scald (17),43,Flash Cannon (295),46,Power Gem (285),50,Hydro Pump (56),55,Dark Pulse (66),60,Water Spout (323),14,Powder Snow (181),2 (0x2),face007.gtx Regular (7),poke_dance.fsys -> zenigame.atx (0x1EBA3200),2 (0x2),face007.gtx Shiny (393),poke_dance.fsys -> zenigame_c.atx (0x1EBB3200)
"Wartortle"  - 8,Very Fast (1),45,87.5% Male (31),143,70 (0x46),10,225,1001 (0x3E9),8 (0x8),1360 (0x550),8,210,"Wartortle" (0x3F0),"Turtle" (0x620),0 (0x0),14 (0xE),400 (0x190),pkx_kameil.fsys (8),Water (11),Rock (5),Lightningrod (31),Swift Swim (33),false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,true,false,true,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),75,80,90,80,90,60,0,0,1,0,1,0,Level Up (4),36 (0x24),Blastoise (9),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Metal Sound (319),1,Water Gun (55),1,Rock Throw (88),1,Whirlpool (250),13,Rain Dance (240),16,Shell Smash (112),19,Snarl (6),23,Water Pulse (352),26,Icy Wind (196),29,Dragon Pulse (110),33,Freeze Dry (198),38,Calm Mind (129),40,Scald (17),43,Flash Cannon (295),46,Power Gem (285),50,Hydro Pump (56),55,Dark Pulse (66),60,Water Spout (323),0,None (0),2 (0x2),face008.gtx Regular (8),poke_dance.fsys -> kameil.atx (0x1CB33200),2 (0x2),face008.gtx Shiny (394),poke_dance.fsys -> kameil_c.atx (0x1CB43200)
"Blastoise"  - 9,Very Fast (1),45,87.5% Male (31),210,70 (0x46),16,855,1005 (0x3ED),9 (0x9),1357 (0x54D),9,211,"Blastoise" (0x3F1),"Shellfish" (0x63A),0 (0x0),15 (0xF),401 (0x191),pkx_kamex.fsys (9),Water (11),Rock (5),Lightningrod (31),Swift Swim (33),false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,false,true,false,true,false,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,false,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),90,85,105,100,110,80,0,0,0,0,3,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,Metal Sound (319),1,Water Gun (55),1,Rock Throw (88),1,Whirlpool (250),13,Rain Dance (240),16,Shell Smash (112),19,Snarl (6),23,Water Pulse (352),26,Icy Wind (196),29,Dragon Pulse (110),33,Freeze Dry (198),38,Calm Mind (129),40,Scald (17),43,Flash Cannon (295),46,Power Gem (285),50,Hydro Pump (56),55,Dark Pulse (66),60,Water Spout (323),53,Surf (57),2 (0x2),face009.gtx Regular (9),poke_dance.fsys -> kamex.atx (0x1CB53200),2 (0x2),face009.gtx Shiny (395),poke_dance.fsys -> kamex_c.atx (0x1CB63200)
