Entry Name,Min Level,Max Level,Species,Encounter Percentage,Steps per snack
Bonsly  - 0,10,10,Bonsly (413),35%,500
Munchlax  - 1,10,10,Munchlax (414),5%,50
Moltres  - 2,50,50,Moltres (146),0%,0
Zapdos  - 3,50,50,Zapdos (145),0%,0
Articuno  - 4,50,50,Articuno (144),0%,0
RoboKyogre  - 5,50,50,RoboKyogre (254),0%,0
RoboGroudn  - 6,50,50,RoboGroudn (253),0%,0
DX002  - 7,50,50,DX002 (272),0%,0
None  - 8,0,0,None (0),0%,0
None  - 9,0,0,None (0),0%,0
None  - 10,0,0,None (0),0%,0
None  - 11,0,0,None (0),0%,0
None  - 12,0,0,None (0),0%,0
None  - 13,0,0,None (0),0%,0
None  - 14,0,0,None (0),0%,0
