Entry Name,Min Level,Max Level,Species,Encounter Percentage,Steps per snack
Unown  - 0,15,25,Unown (201),9%,75
Slugma  - 1,15,25,Slugma (218),5%,100
Vulpix  - 2,15,25,Vulpix (37),5%,100
Gulpin  - 3,15,25,Gulpin (367),5%,100
Grimer  - 4,15,25,Grimer (88),5%,100
Growlithe  - 5,15,25,Growlithe (58),5%,100
Ponyta  - 6,15,25,Ponyta (77),5%,100
Spinarak  - 7,15,25,Spinarak (167),5%,100
Paras  - 8,15,25,Paras (46),5%,100
Nosepass  - 9,18,28,Nosepass (320),4%,150
Shellder  - 10,18,28,Shellder (90),4%,150
Koffing  - 11,18,28,Koffing (109),4%,150
Meowth  - 12,18,28,Meowth (52),4%,150
Dunsparce  - 13,18,28,Dunsparce (206),4%,150
Aipom  - 14,18,28,Aipom (190),4%,150
Teddiursa  - 15,18,28,Teddiursa (216),4%,150
Sableye  - 16,22,30,Sableye (322),3%,200
Misdreavus  - 17,22,30,Misdreavus (200),3%,200
Roselia  - 18,22,30,Roselia (363),3%,200
Chimecho  - 19,22,30,Chimecho (411),3%,200
Lickitung  - 20,22,30,Lickitung (108),3%,200
Pinsir  - 21,25,32,Pinsir (127),2%,225
Minun  - 22,25,32,Minun (354),2%,225
Plusle  - 23,25,32,Plusle (353),2%,225
Kecleon  - 24,30,40,Kecleon (317),1%,255
