Entry Name,Min Level,Max Level,Species,Encounter Percentage,Steps per snack
Clamperl  - 0,15,25,Clamperl (373),0.1,75
Krabby  - 1,15,25,Krabby (98),0.05,100
Staryu  - 2,15,25,Staryu (120),0.05,100
Marill  - 3,15,25,Marill (183),0.05,100
Wingull  - 4,15,25,Wingull (309),0.05,100
Surskit  - 5,15,25,Surskit (311),0.05,100
Oddish  - 6,15,25,Oddish (43),0.05,100
Bellsprout  - 7,15,25,Bellsprout (69),0.05,100
Wooper  - 8,18,28,Wooper (194),0.04,150
Carvanha  - 9,18,28,Carvanha (330),0.04,150
Corsola  - 10,18,28,Corsola (222),0.04,150
Yanma  - 11,18,28,Yanma (193),0.04,150
Beautifly  - 12,18,28,Beautifly (292),0.04,150
Dustox  - 13,18,28,Dustox (294),0.04,150
Psyduck  - 14,18,28,Psyduck (54),0.04,150
Tentacool  - 15,18,28,Tentacool (72),0.04,150
Tropius  - 16,22,30,Tropius (369),0.03,200
Venomoth  - 17,22,30,Venomoth (49),0.03,200
Qwilfish  - 18,22,30,Qwilfish (211),0.03,200
Castform  - 19,22,30,Castform (385),0.03,200
Octillery  - 20,22,30,Octillery (224),0.03,200
Exeggutor  - 21,22,30,Exeggutor (103),0.03,200
Relicanth  - 22,25,32,Relicanth (381),0.02,225
Shuckle  - 23,25,32,Shuckle (213),0.02,225
Regice  - 24,40,40,Regice (402),0.01,255
