Entry Name,Min Level,Max Level,Species,Encounter Percentage,Steps per snack
Eevee  - 0,15,25,Eevee (133),0.1,75
Baltoy  - 1,15,25,Baltoy (318),0.05,100
Cubone  - 2,15,25,Cubone (104),0.05,100
Sandshrew  - 3,15,25,Sandshrew (27),0.05,100
Spearow  - 4,15,25,Spearow (21),0.05,100
Hoothoot  - 5,15,25,Hoothoot (163),0.05,100
Natu  - 6,15,25,Natu (177),0.05,100
Meditite  - 7,15,25,Meditite (356),0.05,100
Voltorb  - 8,15,25,Voltorb (100),0.05,100
Makuhita  - 9,15,25,Makuhita (335),0.05,100
Rattata  - 10,15,25,Rattata (19),0.05,100
Zigzagoon  - 11,15,25,Zigzagoon (288),0.05,100
Murkrow  - 12,18,28,Murkrow (198),0.04,150
Girafarig  - 13,18,28,Girafarig (203),0.03,200
Spoink  - 14,18,28,Spoink (351),0.03,200
Swellow  - 15,22,30,Swellow (305),0.03,200
Tauros  - 16,22,30,Tauros (128),0.03,200
Stantler  - 17,22,30,Stantler (234),0.03,200
Granbull  - 18,23,30,Granbull (210),0.03,200
Linoone  - 19,22,30,Linoone (289),0.03,200
Ledian  - 20,22,30,Ledian (166),0.03,200
Farfetch'd  - 21,25,32,Farfetch'd (83),0.02,225
Wynaut  - 22,25,32,Wynaut (360),0.02,225
Kangaskhan  - 23,25,32,Kangaskhan (115),0.02,225
Regirock  - 24,40,40,Regirock (401),0.01,255
