Entry Name,ID String Pointer,Pokemon 6 is shadow id,Pokemon 5 is shadow id,Pokemon 4 is shadow id,Pokemon 3 is shadow id,Pokemon 2 is shadow id,Pokemon 1 is shadow id,Trainer Class ID,Name ID,Model ID,Camera Effect ID,Pre Battle Text Id,Victory Text Id,Loss Text Id,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,AI Index,Unknown Values 1,Unknown Values 2,Unknown Values 3,Unknown Values 4,Unknown Values 2 1,Unknown Values 2 2,Unknown Values 2 3,Unknown Values 2 4
None  - 0,0x5588,false,false,false,false,false,false,None (0),None (0x0),PKX Trainer Model (0),0 (0x0),None (0x0),None (0x0),None (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),Trainer AI (0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 1,0x85588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),: I'm ready and set to go![New Line]You can bring it on whenever! (0x6597),": Ooh, I so wanted to[New Line]dance some more.[New Line]Baby, you need to develop a little more[New Line]spine like a good bass line. (0x6598)",": I was ready, but not[New Line]enough![New Line]It won't be me losing the next time! (0x6599)",1 (0x1),2 (0x2),3 (0x3),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 2,0x185588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),: Could you soar above my[New Line]elegant dance steps? (0x659A),: My dance steps are[New Line]perfection![New Line]Fuhohoho! (0x659B),": My timing slipped![New Line]Oh, how vexing! (0x659C)",238 (0xEE),5 (0x5),6 (0x6),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 3,0x285588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),": What I call my grooving[New Line]style, can you keep up with it? (0x659D)",": Whoah, yeah![New Line]I'm in the groove![New Line]Fuhohohoho! (0x659E)",: That groove wasn't very[New Line]groovy... (0x659F),252 (0xFC),258 (0x102),264 (0x108),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 4,0x385588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),": Hey, baby, it's you[New Line]again![New Line]This time, I'm putting you out of the[New Line]competition! (0x65A0)",": Fuhohohoho![New Line]Watch me scoop the championship,[New Line]baby! (0x65A1)",": If this is about dancing,[New Line]you're not in my league, baby. (0x65A2)",11 (0xB),276 (0x114),279 (0x117),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 5,0x485588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),": Hey, baby, not you[New Line]again![New Line]This time, I'm not going to forgive you! (0x65A3)",": Fuhohohoho![New Line]My dancing was perfection today,[New Line]pure and simple! (0x65A4)",": Oh, the tempo is all[New Line]wrong again![New Line]It won't do at all! (0x65A5)",21 (0x15),16 (0x10),17 (0x11),151 (0x97),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 6,0x585588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),: I'm your dance partner[New Line]this time. (0x65A6),": Oh, you're not quite[New Line]what I expected at all, baby. (0x65A7)",: The tempo is off![New Line]It won't do at all! (0x65A8),288 (0x120),19 (0x13),20 (0x14),157 (0x9D),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 7,0x685588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),": With my gorgeously[New Line]elegant dance steps, I'll send you[New Line]packing! (0x65A9)",: You're not up for the[New Line]part.[New Line]Go practice your dance steps! (0x65AA),": My gorgeously elegant[New Line]dance steps aren't easy, you know! (0x65AB)",21 (0x15),463 (0x1CF),23 (0x17),163 (0xA3),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Mirror B.  - 8,0x785588,false,false,false,false,false,false,Villain (11),Mirror B. (0x17D7),pkx_mirrabo_0101.fsys (43),98 (0x62),": Oh, you are so unlucky[New Line]to have to face me![New Line]Let the music play! (0x65AC)",": Oh, you.[New Line]You should face it, you're not ready[New Line]for me, baby. (0x65AD)",": You've beaten me through[New Line]and through and thoroughly, too![New Line]This won't do at all, not at all! (0x65AE)",25 (0x19),21 (0x15),464 (0x1D0),28 (0x1C),0 (0x0),0 (0x0),Trainer AI (3),1 (0x1),0 (0x0),0 (0x0),0 (0x0),50 (0x32),0 (0x0),0 (0x0),0 (0x0)
Abby  - 9,0x885588,false,false,false,false,false,false,Chaser (26),Abby (0x1A91),pkx_thief_f_0101.fsys (55),0 (0x0),: I'm the first in line![New Line]I'll leave you tingling with shock! (0x5DC1),: Well?[New Line]Didn't I say I'd leave you shocked? (0x5DC2),": Oh, you! (0x5DC3)",29 (0x1D),30 (0x1E),31 (0x1F),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Maxie  - 10,0x8C5588,false,false,false,false,false,false,Sailor (32),Maxie (0x1A92),pkx_sailor2_0101.fsys (22),0 (0x0),: Fufufu.[New Line]Check 'em out![New Line]My Pokémon form a golden trio! (0x5DC4),: So?[New Line]Had enough? (0x5DC5),: My golden trio! (0x5DC6),33 (0x21),34 (0x22),35 (0x23),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Randy  - 11,0x905588,false,false,false,false,false,false,Chaser (26),Randy (0x1A93),pkx_thief_m_0101.fsys (57),0 (0x0),: You're aiming to beat me?[New Line]That's not about to happen! (0x5DC7),": I told you, didn't I?[New Line]You're not about to beat me! (0x5DC8)",": Grrr![New Line]You've beaten me, all right. (0x5DC9)",36 (0x24),37 (0x25),38 (0x26),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Jojo  - 12,0x945588,false,false,false,false,false,false,Chaser (26),Jojo (0x1A94),pkx_agent1_m_0101.fsys (12),0 (0x0),: You'll win the title if you[New Line]can beat me.[New Line]Bring it on! (0x5DCA),: Too bad for you![New Line]You'd better start over again! (0x5DCB),": Wow, you're good![New Line]You've won the title! (0x5DCC)",40 (0x28),41 (0x29),42 (0x2A),179 (0xB3),0 (0x0),0 (0x0),Trainer AI (3),12 (0xC),0 (0x0),0 (0x0),0 (0x0),60 (0x3C),0 (0x0),0 (0x0),0 (0x0)
Jaden  - 13,0x985588,false,false,false,false,false,false,Hunter (27),Jaden (0x1A95),pkx_hunter_m_0101.fsys (36),0 (0x0),: You're going to beat me?[New Line]Not for another million years! (0x5DCD),: Trying to beat me is a bad[New Line]idea![New Line]It's never going to happen! (0x5DCE),: I lost?[New Line]It's not supposed to happen for another[New Line]million years! (0x5DCF),43 (0x2B),44 (0x2C),45 (0x2D),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Lucy  - 14,0x9C5588,false,false,false,false,false,false,Chaser (26),Lucy (0x1A96),pkx_thief_f_0101.fsys (55),0 (0x0),: My adorable Pokémon will[New Line]leave your team shattered and broken! (0x5DD0),: Did my cute Pokémon break[New Line]your will to battle? (0x5DD1),": If it's about cuteness,[New Line]my Pokémon have yours beat! (0x5DD2)",46 (0x2E),47 (0x2F),48 (0x30),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Ned  - 15,0xA05588,false,false,false,false,false,false,Chaser (26),Ned (0x1A97),pkx_thief_m_0101.fsys (57),0 (0x0),": All right, then.[New Line]Here goes! (0x5DD3)",": Those that rule the weather[New Line]rule in Pokémon battles, too! (0x5DD4)",: The weather is fickle! (0x5DD5),50 (0x32),51 (0x33),52 (0x34),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),4 (0x4),2 (0x2),0 (0x0),0 (0x0),50 (0x32),50 (0x32),0 (0x0),0 (0x0)
Damon  - 16,0xA45588,false,false,false,false,false,false,Researcher (30),Damon (0x1A98),pkx_agent1_m_0101.fsys (12),0 (0x0),: Oh![New Line]A new set of specimens to be examined! (0x5DD6),": Hmm...[New Line]As research specimens go, you're not quite[New Line]right. (0x5DD7)",: I was beaten before I could[New Line]do any research! (0x5DD8),53 (0x35),54 (0x36),55 (0x37),182 (0xB6),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Stefan  - 17,0xA85588,false,false,false,false,false,false,Hunter (27),Stefan (0x1A99),pkx_hunter_m_0101.fsys (36),0 (0x0),": All right, now![New Line]I'll do my best! (0x5DD9)",: Huh? What's with you?[New Line]You're not all that tough at all. (0x5DDA),: My precious pokemon! (0x5DDB),56 (0x38),57 (0x39),58 (0x3A),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),24 (0x18),0 (0x0),0 (0x0),0 (0x0),60 (0x3C),0 (0x0),0 (0x0),0 (0x0)
Lois  - 18,0xAC5588,false,false,false,false,false,false,Chaser (26),Lois (0x1A9A),pkx_thief_f_0101.fsys (55),0 (0x0),": Now, now, now, now![New Line]Let's get started! (0x5DDC)",: There's no way that my cute[New Line]and darling Pokémon were about to lose! (0x5DDD),": Oh, how could you![New Line]How could you be so awful to my adorable[New Line]Pokémon? (0x5DDE)",59 (0x3B),60 (0x3C),61 (0x3D),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
Homer  - 19,0xB05588,false,false,false,false,false,false,Chaser (26),Homer (0x1A9B),pkx_thief_m_0101.fsys (57),0 (0x0),: There are no weak spots in[New Line]the way I battle! (0x5DDF),: Hah![New Line]Hahaha! (0x5DE0),: Groan...[New Line]You exposed all my weaknesses. (0x5DE1),62 (0x3E),63 (0x3F),64 (0x40),0 (0x0),0 (0x0),0 (0x0),Trainer AI (3),16 (0x10),36 (0x24),0 (0x0),0 (0x0),100 (0x64),100 (0x64),0 (0x0),0 (0x0)
