Entry Name,ID String Pointer,Pokemon 6 is shadow id,Pokemon 5 is shadow id,Pokemon 4 is shadow id,Pokemon 3 is shadow id,Pokemon 2 is shadow id,Pokemon 1 is shadow id,Trainer Class ID,Name ID,Model ID,Camera Effect ID,Pre Battle Text Id,Victory Text Id,Loss Text Id,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,AI Index,Unknown Values 1,Unknown Values 2,Unknown Values 3,Unknown Values 4,Unknown Values 2 1,Unknown Values 2 2,Unknown Values 2 3,Unknown Values 2 4
None  - 0,0x68686868,false,false,false,false,false,false,None (0),None (0x0),PKX Trainer Model (0),0 (0x0),None (0x0),None (0x0),None (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),Trainer AI (0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Quinn"  - 1,0x68686868,false,false,false,false,false,false,Beauty (34),"Quinn" (0x17A0),pkx_ippan_f_0101.fsys (37),0 (0x0),None (0x0),": I put everything I've[New Line]learned into that battle!" (0x5720),": Waaaah![New Line]I couldn't properly use everything I've[New Line]learned!" (0x5721),1 (0x1),2 (0x2),3 (0x3),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Gale"  - 2,0x68686868,false,false,false,false,false,false,Casual Dude (33),"Gale" (0x17A1),pkx_ippan_m_0101.fsys (38),0 (0x0),None (0x0),": That's it![New Line]We've won!" (0x5722),": Waaaah![New Line]You're making me lose confidence!" (0x5723),18 (0x12),6 (0x6),4 (0x4),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Davis"  - 3,0x68686868,false,false,false,false,false,false,Cool Trainer (20),"Davis" (0x17A2),pkx_trainer_m_0101.fsys (60),0 (0x0),None (0x0),": I feel like I just aced my[New Line]college entrance exam!" (0x5724),": I'm going to need[New Line]remedial lessons!" (0x5725),8 (0x8),48 (0x30),7 (0x7),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Brock"  - 4,0x68686868,false,false,false,false,false,false,Gym Leader (47),"Brock" (0x19C9),pkx_worker_0101.fsys (63),0 (0x0),None (0x0),": Hoho![New Line]Not good enough yet!" (0x565B),": Hoho![New Line]Well done, my boy!" (0x565C),15 (0xF),477 (0x1DD),31 (0x1F),39 (0x27),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Brian"  - 5,0x68686868,false,false,false,false,false,false,Fun Old Man (21),"Brian" (0x19CA),pkx_jiji1_0101.fsys (39),0 (0x0),None (0x0),": No one can beat my[New Line]Shroomish!" (0x565D),": You're very good![New Line]You must be to beat my Shroomish!" (0x565E),11 (0xB),12 (0xC),215 (0xD7),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Faulkner"  - 6,0x68686868,false,false,false,false,false,false,Gym Leader (47),"Faulkner" (0x19CB),pkx_rider_m_0101.fsys (49),0 (0x0),None (0x0),": Well done![New Line]Good job, Poochyena and Sunkern!" (0x565F),": Hm, hm.[New Line]A fine battle indeed!" (0x5660),9 (0x9),10 (0xA),252 (0xFC),13 (0xD),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Austin"  - 7,0x68686868,false,false,false,false,false,false,Casual Dude (33),"Austin" (0x19CC),pkx_ippan_m_0101.fsys (38),0 (0x0),None (0x0),": Didn't I tell you?[New Line]You should never let down your guard." (0x5661),": Well, I lost that rather[New Line]handily." (0x5662),16 (0x10),21 (0x15),20 (0x14),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Oriana"  - 8,0x68686868,false,false,false,false,false,false,Beauty (34),"Oriana" (0x19CD),pkx_ippan_f_0101.fsys (37),0 (0x0),None (0x0),": You need to refine your[New Line]strategy a lot more!" (0x5663),": Aww![New Line]You wrecked my strategy!" (0x5664),219 (0xDB),260 (0x104),261 (0x105),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Roxanne"  - 9,0x68686868,false,false,false,false,false,false,Gym Leader (47),"Roxanne" (0x19CE),pkx_caster_a_0101.fsys (27),0 (0x0),None (0x0),": Oh, no.[New Line]You won't get much out of training[New Line]here if you're losing to me." (0x5665),": Good going!" (0x5666),14 (0xE),19 (0x13),272 (0x110),26 (0x1A),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Vander"  - 10,0x68686868,false,false,false,false,false,false,Area Leader (19),"Vander" (0x17A3),pkx_gyma_m_1101.fsys (33),0 (0x0),None (0x0),": That's it?[New Line]You're telling me that's the best you[New Line]can manage?" (0x5726),": Bravo!" (0x5727),196 (0xC4),71 (0x47),79 (0x4F),56 (0x38),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Khalid"  - 11,0x68686868,false,false,false,false,false,false,Chaser (26),"Khalid" (0x19CF),pkx_thief_m_0101.fsys (57),0 (0x0),None (0x0),": Are you serious?[New Line]You'd really lose here?" (0x5669),": Hah![New Line]My team's not good enough[New Line]for a battle!" (0x566A),22 (0x16),27 (0x1B),29 (0x1D),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Velma"  - 12,0x68686868,false,false,false,false,false,false,Chaser (26),"Velma" (0x19D0),pkx_thief_f_0101.fsys (55),0 (0x0),None (0x0),": My victory was assured[New Line]before the battle even started!" (0x566B),": I didn't foresee you[New Line]winning at all!" (0x566C),23 (0x17),24 (0x18),93 (0x5D),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Misty"  - 13,0x68686868,false,false,false,false,false,false,Gym Leader (47),"Misty" (0x19D1),pkx_trainer_f_0101.fsys (59),0 (0x0),None (0x0),": Isn't it terrifying to[New Line]know that you can't get away from me?" (0x566D),": I let the win get away!" (0x566E),25 (0x19),30 (0x1E),122 (0x7A),323 (0x143),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Ed"  - 14,0x68686868,false,false,false,false,false,false,Researcher (30),"Ed" (0x19D2),pkx_research2_0101.fsys (48),0 (0x0),None (0x0),": What, you're finished[New Line]already?" (0x566F),": I'm not surprised you[New Line]won." (0x5670),288 (0x120),105 (0x69),299 (0x12B),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Merlin"  - 15,0x68686868,false,false,false,false,false,false,Hunter (27),"Merlin" (0x19D3),pkx_hunter_m_0101.fsys (36),0 (0x0),None (0x0),": Humph.[New Line]Didn't have the time to put up a feeble[New Line]struggle." (0x5671),": Oh, how infuriating![New Line]It makes me want to flail about!" (0x5672),140 (0x8C),315 (0x13B),322 (0x142),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Bugsy"  - 16,0x68686868,false,false,false,false,false,false,Gym Leader (47),"Bugsy" (0x19D4),pkx_gyma_m_2101.fsys (34),0 (0x0),None (0x0),": When all's said and[New Line]done, Pokémon possessing both cute[New Line]and strong qualities are best." (0x5673),": Oh, but you know, you[New Line]haven't bested my Pokémon in terms[New Line]of cuteness!" (0x5674),32 (0x20),33 (0x21),324 (0x144),162 (0xA2),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Jack"  - 17,0x68686868,false,false,false,false,false,false,Rider (28),"Jack" (0x19D5),pkx_rider_m_0101.fsys (49),0 (0x0),None (0x0),": Good job!" (0x5675),": Good effort!" (0x5676),34 (0x22),325 (0x145),326 (0x146),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Ada"  - 18,0x68686868,false,false,false,false,false,false,Bodybuilder (35),"Ada" (0x19D6),pkx_niku_f_0101.fsys (44),0 (0x0),None (0x0),": Did you learn how[New Line]important defense is?" (0x5677),": Oh, no, no...[New Line]We're done for!" (0x5678),35 (0x23),37 (0x25),28 (0x1C),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
"Laslo"  - 19,0x68686868,false,false,false,false,false,false,Researcher (30),"Laslo" (0x19D7),pkx_research2_0101.fsys (48),0 (0x0),None (0x0),": Don't let this deter you.[New Line]Come back and train with us again!" (0x5679),": Well, well.[New Line]You're pretty strong." (0x567A),36 (0x24),38 (0x26),328 (0x148),0 (0x0),0 (0x0),0 (0x0),Trainer AI (1),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0),0 (0x0)
