Entry Name,Species,Level,Happiness,Item,Unknown Flag 1,Unknown Flag 2,Unknown Flag 3,Unknown Flag 4,Unknown Flag 5,Unknown Flag 6,Unknown Flag 7,Unknown Flag 8,Unknown,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Shininess,Use species second ability,Gender,Nature,Unknown 2
None - 0,None (0),0,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,None (0),None (0),None (0),None (0),Random (0xFFFF),FALSE,Male (0),Hardy (0),0 (0x0)
Porygon - 1,Porygon (137),40,90,Sitrus Berry (142),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Tri Attack (161),Trick Room (54),Dark Pulse (66),Protect (182),Never (0x0),FALSE,Genderless (2),Hasty (11),0 (0x0)
Ludicolo - 2,Ludicolo (297),20,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Leech Seed (73),Mega Drain (72),Water Pulse (352),Rain Dance (240),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Baltoy - 3,Baltoy (318),20,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Bulldoze (222),Hypnosis (95),Confusion (93),Mud Shot (341),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
Ludicolo - 4,Ludicolo (297),25,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Leech Seed (73),Mega Drain (72),Water Pulse (352),Rain Dance (240),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Carvanha - 5,Carvanha (330),25,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Water Pulse (352),Pursuit (228),Swords Dance (14),Poison Fang (305),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Ludicolo - 6,Ludicolo (297),30,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Mud Shot (341),Mega Drain (72),Water Pulse (352),Rain Dance (240),Never (0x0),FALSE,Male (0),Hardy (0),0 (0x0)
Meditite - 7,Meditite (356),30,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Force Palm (158),Heart Stamp (170),Acrobatics (178),Brick Break (280),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Ludicolo - 8,Ludicolo (297),40,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Signal Beam (324),Rain Dance (240),Calm Mind (129),Giga Drain (202),Never (0x0),FALSE,Female (1),Hardy (0),0 (0x0)
Claydol - 9,Claydol (319),40,0,None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0 (0x0),0,0,0,0,0,0,0,0,0,0,0,0,Aura Sphere (4),Recover (105),Power Gem (285),Psyshock (133),Never (0x0),FALSE,Genderless (2),Hardy (0),0 (0x0)
